College Code,college name ,sopc name ,spoc number ,Student counr,verified count
9616,MARTHANDAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Anto Spiritus,,527,527
9617,NARAYANAGURU COLLEGE OF ENGINEERING,Shajin S ,,89,89
9618,PONJESLY COLLEGE OF ENGINEERING,Mrs. Preeta Shirley G,,1049,1048
9621,SIVAJI COLLEGE OF ENGINEERING AND TECHNOLOGY,Mr. Roger Jees Smith,,126,126
9622,St.Xavier's Catholic College of Engineering,Dr. R. P. Anto Kumar,,2756,1304
9623,AMRITA COLLEGE OF ENGINEERING AND TECHNOLOGY,J.Nagarajan,,678,678
9626,UDAYA SCHOOL OF ENGINEERING,Mr.Sundarlin Shibu,,868,868
9628,"UNIVERSITY COLLEGE OF ENGINEERING, NAGERCOIL",Dr. V. C. Sathish Gandhi ,,1133,1133
9629,Vins Christian College of engineering,Brindha,,108,107
9635,STELLA MARY'S COLLEGE OF ENGINEERING,Dr.A.Selvareegan,,667,667
9636,LOURDES MOUNT COLLEGE OF ENGINEERING AND TECHNOLOGY,BIFRIN SAMUEL,,110,110
9500,"ANNA UNIVERSITY REGIONAL CAMPUS, TIRUNELVELI",Dr.Fareena.N,,565,564
9503,GRACE COLLEGE OF ENGINEERING,Krishna Kumar M,,251,251
9504,Dr.G.U.Pope College of Engineering,Jackson D,,287,287
9505,"Dr.Sivanthi Aditanar College of Engineering, Tiruchendur",Dr.R.Jensi,,484,483
9509,Holycross Engineering college ,Mr.Murugaesan,,201,199
9510,INFANT JESUS COLLEGE OF ENGINEERING,DR SENTHILSINGH C,,36,36
9513,Jayaraj Annapackiam CSI College of Engineering,K.Emily Esther Rani,,606,605
9518,NELLAI COLLEGE OF ENGINEERING,S.ANULA BEAUTY,,210,210
9530,ST.MOTHER THERESA ENGINEERING COLLEGE,M.S.Cordelia Sumathy,,471,470
9532,"UNIVERSITY COLLEGE OF ENGINEERING, THOOTHUKUDI",Colins Johnny J,,516,516
9534,V V College of Engineering ,Jagadeesh S,,535,532
9605,CAPE INSTITUTE OF TECHNOLOGY,Dev R Newlin,,884,757
9606,DMI ENGINEERING COLLEGE,J. Jeba Jenkin,,341,341
9609,Jayamatha Engineering College,Uma,,23,23
9613,M.E.T. ENGINEERING COLLEGE,ANISHA,,174,172
9620,SATYAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Mr.SIVAJOTHI,,549,66
9627,Universal College of Engineering and Technology Vallioor ,R. Sowmiya,,427,409
9632,"PET ENGINEERING COLLEGE, VALLIOOR",P. EUGINE PAUL,,507,507
9633,ROHINI COLLEGE OF ENGINEERING AND TECHNOLOGY,A.Haseena Beevi,,1698,1629
6177,GOVERNMENT COLLEGE OF ENGINEERING - SALEM,Dr. G. ARUNKUMAR,,1385,1384
7180,P.S.G. COLLEGE OF TECHNOLOGY,Dr.R.REKHA,,4404,4403
7176,COIMBATORE INSTITUTE OF TECHNOLOGY,Dr. R. Mahesvari,,2193,0
9177,"Thiagarajar College of Engineering, Madurai",Dr.S.Padmavathi,,1353,1353
1,"College Of Engineering,Guindy Campus",Dr.C.Balamurugan,,2528,2527
4,"Madras Institute of Technology, Anna University",Dr. G. Sumithra,,2156,2155
9176,Alagappa Chettiar Government College of Engineering and Technology,Dr. P. Raveendiran,,1240,1240
7177,"GOVERNMENT COLLEGE OF TECHNOLOGY, COIMBATORE",Dr. L. Balakrishnan,,2136,2070
6107,GOVERNMENT COLLEGE OF ENGINEERING - BARGUR,S.Tamil Prabakaran,,691,691
1113,R.M.K.Engineering College,Dr.K.K.Sivagnana Prabhu,,2189,2189
2120,SKR Engineering College ,S Velladurai ,,143,142
2124,SREE SASTHA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Lakshmi Prabha T S,,278,270
2128,JAYA COLLEGE OF ENGINEERING AND TECHNOLOGY,S VIJAYAN,,70,70
3125,T.J. INSTITUTE OF TECHNOLOGY,K.Vinodh Kumar,,173,0
4116,Prince Dr.K.Vasudevan College of Engineering and Technology,Deepa.R,,251,251
4120,Sri Krishna Engineering College,Vijay s,,23,22
4129,VI INSTITUTE OF TECHNOLOGY,K R PRASANTH,,66,66
4224,"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM",Dr.J.Lakshmi,,450,450
5110,J E I MATHAAJEE COLLEGE OF ENGINEERING,Dr.R.Muralikrishnan,,27,0
5121,RANIPPETTAI ENGINEERING COLLEGE,Mr.A.M. Kothandan,,30,30
6205,CMS COLLEGE OF ENGINEERING ,DHINESH.S,,147,147
7211,"STUDY WORLD COLLEGE OF ENGINEERING, COIMBATORE",Mr.J.ARUL AUGUSTINE,,233,233
8131,Pavendar Bharathidasan College of Engineering and Technology,Kishore Kumar.V,,297,297
8139,SHIVANI ENGINEERING COLLEGE,Chantra A,,84,84
9103,CHENDHURAN COLLEGE OF ENGINEERING AND TECHNOLOGY,MR. S. SEENIVASAN,,98,98
9501,A.R. COLLEGE OF ENGINEERING AND TECHNOLOGY,A Mathana Gopal ,,11,11
9520,P.S.R.R COLLEGE OF ENGINEERING,Dr.P.Suresh Pandiarajan ,,108,108
9607,IMMANUEL ARASAR J J COLLEGE OF ENGINEERING,Mrs. Jarlin Minija,,14,0
9619,Rajas Institute of technology ,Jayalakshmi kala,,133,133
9638,GOOD SHEPHERD COLLEGE OF ENGINEERING & TECHNOLOGY,Dr.I.Jeyakumar,,103,103
9219,SRI SUBRAMANYA COLLEGE OF ENGINEERING AND TECHNOLOGY,M.Arulprakash,,10,10
9535,V.P.MUTHAIAH PILLAI MEENAKSHI AMMAL ENGINEERING COLLEGE FOR WOMEN,Komalavalli,,36,36
9630,VINS CHRISTIAN  WOMEN'S COLLEGE OF ENGINEERING  CHUNKANKADI,Dr.V.DYANA CHRISTILDA,,31,31
9236,JAINEE COLLEGE OF ENGINEERING AND TECHNOLOGY,PRIYADHARSINI  M,,13,0
9625,RAJAS ENGINEERING COLLEGE,closed,,2,0
8218,SMR EAST COAST COLLEGE OF ENGINEERING AND TECHNOLOGY,D.PARTHIBAN,,11,10
9132,VICKRAM COLLEGE OF ENGINEERING,,,20,0
9107,K.L.N.COLLEGE OF INFORMATION TECHNOLOGY,HEMALATHA. B.K.,,87,87
5124,SARASWATHI VELU COLLEGE OF ENGINEERING,,,2,0
6207,GNANAMANI COLLEGE OF ENGINEERING,Merged with Gnanamani College of Technology (2624),,169,0
6236,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY,PRABAKARAN C,,138,138
8134,ROEVER COLLEGE OF ENGINEERING AND TECHNOLOGY,,,94,0
8150,DHANALAKSHMI SRINIVASAN INSTITUTE OF RESEARCH AND TECHNOLOGY,,,526,0
9102,CENTRAL ELECTROCHEMICAL RESEARCH INSTITUTE (CSIR) KARAIKUDI,B. Ramesh Babu ,,104,104
