code,roll_no
('4107', '410718104068')
('4107', '410718104069')
('4107', '410718104070')
('4107', '410718104071')
('4107', '410718104072')
('4107', '410718104073')
('4107', '410718104074')
('4107', '410718104075')
('4107', '410718104076')
('4107', '410718104077')
('4107', '410718104078')
('4107', '410718104079')
('4107', '410718104080')
('4107', '410718104081')
('4107', '410718104082')
('4107', '410718104083')
('4107', '410718104084')
('4107', '410718104085')
('4107', '410718104086')
('4107', '410718104087')
('4107', '410718104088')
('4107', '410718104089')
('4107', '410718104090')
('4107', '410718104091')
('4107', '410720105305')
('4107', '410718105001')
('4107', '410718105002')
('4107', '410718105003')
('4107', '410718105004')
('4107', '410718105005')
('4107', '410718105006')
('4107', '410718105007')
('4107', '410718105008')
('4107', '410718105009')
('4107', '410718105010')
('4107', '410718105011')
('4107', '410718105012')
('4107', '410718105013')
('4107', '410718105014')
('4107', '410718105016')
('4107', '410718105018')
('4107', '410718105019')
('4107', '410718105020')
('4107', '410718105301')
('4107', '410718106002')
('4107', '410718106003')
('4107', '410718106004')
('4107', '410718106005')
('4107', '410718106006')
('4107', '410718106008')
('4107', '410718106009')
('4107', '410718106010')
('4107', '410718106011')
('4107', '410718106012')
('4107', '410718106013')
('4107', '410718106014')
('4107', '410718106015')
('4107', '410718106016')
('4107', '410718106017')
('4107', '410718106018')
('4107', '410718106019')
('4107', '410718106020')
('4107', '410718106021')
('4107', '410718106022')
('4107', '410718106023')
('4107', '410718106024')
('4107', '410718106025')
('4107', '410718106026')
('4107', '410718106027')
('4107', '410718106028')
('4107', '410718106029')
('4107', '410718106030')
('4107', '410718106031')
('4107', '410718106032')
('4107', '410718106033')
('4107', '410718106034')
('4107', '410718106035')
('4107', '410718106036')
('4107', '410718106037')
('4107', '410718106038')
('4107', '410718106039')
('4107', '410718106040')
('4107', '410718106041')
('4107', '410718106042')
('4107', '410718106043')
('4107', '410718106044')
('4107', '410718106045')
('4107', '410718106046')
('4107', '410718106047')
('4107', '410718106048')
('4107', '410718106049')
('4107', '410718106050')
('4107', '410718106051')
('4107', '410718106052')
('4107', '410718106053')
('4107', '410718106054')
('4107', '410718106055')
('4107', '410718106056')
('4107', '410718106057')
('4107', '410718106058')
('4107', '410718106059')
('4107', '410718106060')
('4107', '410718106061')
('4107', '410718106062')
('4107', '410718106063')
('4107', '410718106064')
('4107', '410718106065')
('4107', '410718106066')
('4107', '410718106301')
('4107', '410719114020')
('4107', '410718114002')
('4107', '410718114004')
('4107', '410718114005')
('4107', '410718114006')
('4107', '410718114007')
('4107', '410718114008')
('4107', '410718114010')
('4107', '410718114011')
('4107', '410718114012')
('4107', '410718114013')
('4107', '410718114014')
('4107', '410718114015')
('4107', '410718114016')
('4107', '410718114017')
('4107', '410718114018')
('4107', '410718114019')
('4107', '410718114020')
('4107', '410718114021')
('4107', '410718114022')
('4107', '410718114023')
('4107', '410718114024')
('4107', '410718114025')
('4107', '410718114026')
('4107', '410718114027')
('4107', '410718114028')
('4107', '410718114501')
('4107', '410720243008')
('4107', '410721402001')
('4107', '410721402002')
('4107', '410721402003')
('4107', '410721405001')
('4107', '410721405002')
('4107', '410721405003')
('4107', '410721431001')
('4108', '410818101002')
('4108', '410818102001')
('4108', '410818102002')
('4108', '410818102003')
('4108', '410818102004')
('4108', '410818102005')
('4108', '410818102006')
('4108', '410818102007')
('4108', '410818104003')
('4108', '410818104004')
('4108', '410818104005')
('4108', '410818104006')
('4108', '410818104007')
('4108', '410818104008')
('4108', '410818104009')
('4108', '410818104010')
('4108', '410818104011')
('4108', '410818104012')
('4108', '410818104013')
('4108', '410818104014')
('4108', '410818104015')
('4108', '410818104016')
('4108', '410818104017')
('4108', '410818104019')
('4108', '410818104301')
('4108', '410818105002')
('4108', '410818105003')
('4108', '410818105004')
('4108', '410818106001')
('4108', '410818106002')
('4108', '410818106003')
('4108', '410818106005')
('4108', '410818106006')
('4108', '410818106007')
('4108', '410818106301')
('4108', '410818113001')
('4108', '410818113002')
('4108', '410818113003')
('4108', '410818113004')
('4108', '410818113005')
('4108', '410818113006')
('4108', '410818113007')
('4108', '410818113008')
('4108', '410818113009')
('4108', '410818113011')
('4108', '410818113012')
('4108', '410818113013')
('4108', '410818113014')
('4108', '410818113015')
('4108', '410818113016')
('4108', '410818113017')
('4108', '410818113301')
('4108', '410818113303')
('4108', '410818114001')
('4108', '410818114005')
('4108', '410818114006')
('4108', '410818114008')
('4108', '410818114009')
('4108', '410818114011')
('4108', '410818114013')
('4108', '410818114014')
('4108', '410818114015')
('4108', '410818114016')
('4108', '410818114017')
('4108', '410818114018')
('4108', '410818114019')
('4108', '410818114020')
('4108', '410818114021')
('4108', '410818114301')
('4108', '410818114302')
('4108', '410818114303')
('4108', '410818121002')
('4108', '410818121003')
('4108', '410818121004')
('4108', '410818121005')
('4108', '410818121006')
('4108', '410818121007')
('4108', '410818121008')
('4108', '410818121009')
('4108', '410818121010')
('4108', '410818121011')
('4108', '410818121012')
('4108', '410818121013')
('4108', '410818121014')
('4108', '410818121015')
('4108', '410818121016')
('4108', '410818121017')
('4108', '410818121018')
('4108', '410818121019')
('4108', '410818121020')
('4108', '410818121021')
('4108', '410818121022')
('4108', '410818121023')
('4108', '410818121024')
('4108', '410818121025')
('4108', '410818121026')
('4108', '410818121027')
('4108', '410818121028')
('4108', '410818205001')
('4108', '410818205002')
('4108', '410818205003')
('4108', '410818205005')
('4108', '410818205301')
('4108', '410818205701')
('4108', '410818205701')
('4108', '410820403001')
('4108', '410821407001')
('4108', '410821407002')
('4108', '410821407003')
('4108', '410820407002')
('4108', '410821418001')
('4108', '410821418002')
('4108', '410821418003')
('4108', '410821418004')
('4108', '410821418005')
('4108', '410820421001')
('4108', '410821482001')
('4108', '410821482002')
('4108', '410821482003')
('4108', '410821482005')
('4108', '410821482006')
('4108', '410821482007')
('4108', '410820482001')
('4108', '410820494001')
('4108', '410821631001')
('4108', '410821631002')
('4108', '410821631003')
('4108', '410821631004')
('4108', '410821631005')
('4108', '410821631006')
('4108', '410821631007')
('4108', '410821631008')
('4108', '410821631009')
('4108', '410821631010')
('4108', '410821631011')
('4108', '410821631012')
('4108', '410821631013')
('4108', '410821631014')
('4108', '410821631016')
('4108', '410821631017')
('4108', '410821631018')
('4108', '410821631019')
('4108', '410821631020')
('4108', '410821631021')
('4108', '410821631022')
('4108', '410821631023')
('4108', '410821631024')
('4108', '410821631025')
('4108', '410821631026')
('4108', '410821631027')
('4108', '410821631029')
('4108', '410821631031')
('4108', '410821631032')
('4108', '410821631033')
('4108', '410821631034')
('4108', '410821631035')
('4108', '410821631036')
('4108', '410821631037')
('4108', '410821631038')
('4108', '410821631039')
('4108', '410821631040')
('4108', '410821631041')
('4108', '410821631042')
('4108', '410821631043')
('4108', '410821631045')
('4108', '410821631046')
('4108', '410821631047')
('4108', '410821631048')
('4108', '410821631049')
('4108', '410820631001')
('4108', '410820631002')
('4108', '410820631003')
('4108', '410820631004')
('4108', '410820631005')
('4108', '410820631006')
('4108', '410820631007')
('4108', '410820631008')
('4108', '410820631009')
('4108', '410820631010')
('4108', '410820631011')
('4108', '410820631012')
('4108', '410820631013')
('4108', '410820631014')
('4114', '411418103001')
('4114', '411418103002')
('4114', '411418103003')
('4114', '411418103004')
('4114', '411418103005')
('4114', '411418103006')
('4114', '411418104001')
('4114', '411418104002')
('4114', '411418104003')
('4114', '411418104004')
('4114', '411418104005')
('4114', '411418104006')
('4114', '411418104007')
('4114', '411418104008')
('4114', '411418104009')
('4114', '411418104010')
('4114', '411418104011')
('4114', '411418104013')
('4114', '411418104014')
('4114', '411418104015')
('4114', '411418104016')
('4114', '411418104018')
('4114', '411418104020')
('4114', '411418104021')
('4114', '411418104022')
('4114', '411418104023')
('4114', '411418104025')
('4114', '411418104026')
('4114', '411418104027')
('4114', '411418104029')
('4114', '411418104030')
('4114', '411418104031')
('4114', '411418104033')
('4114', '411418104035')
('4114', '411418104036')
('4114', '411418104037')
('4114', '411418104038')
('4114', '411418104039')
('4114', '411418104042')
('4114', '411418104043')
('4114', '411418104044')
('4114', '411418104045')
('4114', '411418104046')
('4114', '411418104302')
('4114', '411418105001')
('4114', '411418105002')
('4114', '411418105003')
('4114', '411418105004')
('4114', '411418105005')
('4114', '411418105006')
('4114', '411418105007')
('4114', '411418105009')
('4114', '411418105010')
('4114', '411418105011')
('4114', '411418105012')
('4114', '411418105013')
('4114', '411418105014')
('4114', '411418105015')
('4114', '411418105016')
('4114', '411418105017')
('4114', '411418105018')
('4114', '411418106002')
('4114', '411418106003')
('4114', '411418106004')
('4114', '411418106005')
('4114', '411418106006')
('4114', '411418106007')
('4114', '411418106008')
('4114', '411418106009')
('4114', '411418106010')
('4114', '411418106011')
('4114', '411418106012')
('4114', '411418106013')
('4114', '411418106014')
('4114', '411418106015')
('4114', '411418106016')
('4114', '411418106017')
('4114', '411418106018')
('4114', '411418106019')
('4114', '411418106020')
('4114', '411418106022')
('4114', '411418106023')
('4114', '411418106024')
('4114', '411418106027')
('4114', '411418106028')
('4114', '411418106029')
('4114', '411418106030')
('4114', '411418106031')
('4114', '411418106032')
('4114', '411418106033')
('4114', '411418106034')
('4114', '411418106035')
('4114', '411418106037')
('4114', '411418106039')
('4114', '411418106040')
('4114', '411418106041')
('4114', '411418106043')
('4114', '411418106301')
('4114', '411418106302')
('4114', '411418106701')
('4114', '411418114001')
('4114', '411418114004')
('4114', '411418114005')
('4114', '411418114006')
('4114', '411418114007')
('4114', '411418114008')
('4114', '411418114009')
('4114', '411418114010')
('4114', '411418114012')
('4114', '411418114013')
('4114', '411418114014')
('4114', '411418114015')
('4114', '411418114016')
('4114', '411418114018')
('4114', '411418114019')
('4114', '411418114020')
('4114', '411418114022')
('4114', '411418114023')
('4114', '411418114024')
('4114', '411418114025')
('4114', '411418114026')
('4114', '411418114027')
('4114', '411418114028')
('4114', '411418114029')
('4114', '411418114030')
('4114', '411418114032')
('4114', '411418114033')
('4114', '411418114034')
('4114', '411418114301')
('4114', '411418114302')
('4114', '411418205001')
('4114', '411418205003')
('4114', '411418205004')
('4114', '411418205005')
('4114', '411418205007')
('4114', '411418205008')
('4114', '411418205009')
('4114', '411418205010')
('4114', '411418205011')
('4114', '411418205012')
('4114', '411418205014')
('4114', '411418205015')
('4114', '411418205016')
('4114', '411418205017')
('4114', '411418205018')
('4114', '411418205019')
('4114', '411418205022')
('4114', '411418205023')
('4114', '411418205024')
('4114', '411418205025')
('4114', '411418205026')
('4114', '411418205028')
('4114', '411418205030')
('4114', '411418205031')
('4114', '411418205032')
('4114', '411418205034')
('4114', '411418205035')
('4114', '411418205036')
('4114', '411418205038')
('4114', '411418205039')
('4115', '411518103001')
('4115', '411518103002')
('4115', '411518103003')
('4115', '411518103004')
('4115', '411518103005')
('4115', '411518103006')
('4115', '411518103007')
('4115', '411518103008')
('4115', '411518103009')
('4115', '411518103010')
('4115', '411518103012')
('4115', '411518103301')
('4115', '411518103302')
('4115', '411518104001')
('4115', '411518104002')
('4115', '411518104003')
('4115', '411518104004')
('4115', '411518104005')
('4115', '411518104006')
('4115', '411518104007')
('4115', '411518104008')
('4115', '411518104009')
('4115', '411518104010')
('4115', '411518104011')
('4115', '411518104012')
('4115', '411518104013')
('4115', '411518104014')
('4115', '411518104015')
('4115', '411518104016')
('4115', '411518104017')
('4115', '411518104018')
('4115', '411518104019')
('4115', '411518104020')
('4115', '411518104021')
('4115', '411518104022')
('4115', '411518104023')
('4115', '411518104024')
('4115', '411518104026')
('4115', '411518104027')
('4115', '411518104028')
('4115', '411518104029')
('4115', '411518104030')
('4115', '411518104031')
('4115', '411518104032')
('4115', '411518104033')
('4115', '411518104034')
('4115', '411518104035')
('4115', '411518104036')
('4115', '411518104037')
('4115', '411518104039')
('4115', '411518104040')
('4115', '411518104041')
('4115', '411518104042')
('4115', '411518104043')
('4115', '411518104044')
('4115', '411518104045')
('4115', '411518104046')
('4115', '411518104048')
('4115', '411518104049')
('4115', '411518104050')
('4115', '411518104051')
('4115', '411518104052')
('4115', '411518104053')
('4115', '411518104054')
('4115', '411518104055')
('4115', '411518104056')
('4115', '411518104057')
('4115', '411518104058')
('4115', '411518104060')
('4115', '411518104061')
('4115', '411518104062')
('4115', '411518104063')
('4115', '411518104064')
('4115', '411518104065')
('4115', '411518104066')
('4115', '411518104067')
('4115', '411518104069')
('4115', '411518104070')
('4115', '411518104072')
('4115', '411518104074')
('4115', '411518104075')
('4115', '411518104076')
('4115', '411518104077')
('4115', '411518104078')
('4115', '411518104079')
('4115', '411518104081')
('4115', '411518104082')
('4115', '411518104083')
('4115', '411518104084')
('4115', '411518104085')
('4115', '411518104086')
('4115', '411518104087')
('4115', '411518104088')
('4115', '411518104089')
('4115', '411518104090')
('4115', '411518104091')
('4115', '411518104092')
('4115', '411518104093')
('4115', '411518104094')
('4115', '411518104095')
('4115', '411518104096')
('4115', '411518104097')
('4115', '411518104098')
('4115', '411518104099')
('4115', '411518104100')
('4115', '411518104101')
('4115', '411518104102')
('4115', '411518104103')
('4115', '411518104104')
('4115', '411518104105')
('4115', '411518104106')
('4115', '411518104107')
('4115', '411518104108')
('4115', '411518104109')
('4115', '411518104110')
('4115', '411518104111')
('4115', '411518104112')
('4115', '411518104114')
('4115', '411518104115')
('4115', '411518104301')
('4115', '411521105005')
('4115', '411520105306')
('4115', '411520105329')
('4115', '411518105002')
('4115', '411518105003')
('4115', '411518105004')
('4115', '411518105005')
('4115', '411518105006')
('4115', '411518105007')
('4115', '411518105008')
('4115', '411518105009')
('4115', '411518105010')
('4115', '411518105011')
('4115', '411518105012')
('4115', '411518105013')
('4115', '411518105014')
('4115', '411518105015')
('4115', '411518105016')
('4115', '411518105017')
('4115', '411518105019')
('4115', '411518105020')
('4115', '411518105301')
('4115', '411518105701')
('4115', '411521106043')
('4115', '411521106050')
('4115', '411518106001')
('4115', '411518106002')
('4115', '411518106003')
('4115', '411518106004')
('4115', '411518106005')
('4115', '411518106006')
('4115', '411518106007')
('4115', '411518106008')
('4115', '411518106009')
('4115', '411518106010')
('4115', '411518106011')
('4115', '411518106012')
('4115', '411518106013')
('4115', '411518106014')
('4115', '411518106015')
('4115', '411518106016')
('4115', '411518106017')
('4115', '411518106018')
('4115', '411518106019')
('4115', '411518106020')
('4115', '411518106021')
('4115', '411518106022')
('4115', '411518106023')
('4115', '411518106024')
('4115', '411518106025')
('4115', '411518106026')
('4115', '411518106027')
('4115', '411518106028')
('4115', '411518106029')
('4115', '411518106030')
('4115', '411518106031')
('4115', '411518106032')
('4115', '411518106033')
('4115', '411518106035')
('4115', '411518106036')
('4115', '411518106037')
('4115', '411518106038')
('4115', '411518106039')
('4115', '411518106040')
('4115', '411518106041')
('4115', '411518106042')
('4115', '411518106043')
('4115', '411518106044')
('4115', '411518106045')
('4115', '411518106046')
('4115', '411518106047')
('4115', '411518106048')
('4115', '411518106049')
('4115', '411518106050')
('4115', '411518106051')
('4115', '411518106052')
('4115', '411518106054')
('4115', '411518106055')
('4115', '411518106056')
('4115', '411518106057')
('4115', '411518106058')
('4115', '411518106059')
('4115', '411518106060')
('4115', '411518106062')
('4115', '411518106063')
('4115', '411518106064')
('4115', '411518106065')
('4115', '411518106066')
('4115', '411518106067')
('4115', '411518106068')
('4115', '411518106069')
('4115', '411518106070')
('4115', '411518106071')
('4115', '411518106072')
('4115', '411518106301')
('4115', '411518106302')
('4115', '411518106303')
('4115', '411520114324')
('4115', '411520114340')
('4115', '411518114001')
('4115', '411518114002')
('4115', '411518114003')
('4115', '411518114004')
('4115', '411518114005')
('4115', '411518114006')
('4115', '411518114007')
('4115', '411518114008')
('4115', '411518114009')
('4115', '411518114010')
('4115', '411518114011')
('4115', '411518114012')
('4115', '411518114013')
('4115', '411518114014')
('4115', '411518114015')
('4115', '411518114016')
('4115', '411518114017')
('4115', '411518114018')
('4115', '411518114019')
('4115', '411518114020')
('4115', '411518114021')
('4115', '411518114022')
('4115', '411518114024')
('4115', '411518114025')
('4115', '411518114026')
('4115', '411518114027')
('4115', '411518114028')
('4115', '411518114029')
('4115', '411518114030')
('4115', '411518114031')
('4115', '411518114032')
('4115', '411518114033')
('4115', '411518114034')
('4115', '411518114035')
('4115', '411518114037')
('4115', '411518114039')
('4115', '411518114040')
('4115', '411518114041')
('4115', '411518114042')
('4115', '411518114043')
('4115', '411518114044')
('4115', '411518114045')
('4115', '411518114046')
('4115', '411518114047')
('4115', '411518114048')
('4115', '411518114051')
('4115', '411518114052')
('4115', '411518114053')
('4115', '411518114054')
('4115', '411518114055')
('4115', '411518114056')
('4115', '411518114057')
('4115', '411518114058')
('4115', '411518114059')
('4115', '411518114301')
('4115', '411518114302')
('4115', '411518114303')
('4115', '411521401001')
('4115', '411521401002')
('4115', '411521401003')
('4115', '411521401004')
('4115', '411521401005')
('4115', '411521401006')
('4115', '411521401007')
('4115', '411520401002')
('4115', '411520401003')
('4115', '411521403001')
('4115', '411521403002')
('4115', '411521403003')
('4115', '411520403001')
('4115', '411520403002')
('4115', '411520403005')
('4115', '411520403006')
('4115', '411521405001')
('4115', '411521405002')
('4115', '411521405003')
('4115', '411521405004')
('4115', '411521405005')
('4115', '411521405006')
('4115', '411521405007')
('4115', '411521405008')
('4115', '411521405009')
('4115', '411521405010')
('4115', '411520405002')
('4115', '411520405008')
('4115', '411520405009')
('4115', '411521415001')
('4115', '411521415002')
('4115', '411521415003')
('4115', '411521415004')
('4115', '411521415005')
('4115', '411521415006')
('4115', '411521415007')
('4115', '411521415008')
('4115', '411521415009')
('4115', '411520415001')
('4115', '411520415002')
('4115', '411520415003')
('4115', '411520415004')
('4115', '411520415005')
('4115', '411520415007')
('4115', '411520415008')
('4116', '411621104022')
('4116', '411618104001')
('4116', '411618104002')
('4116', '411618104003')
('4116', '411618104005')
('4116', '411618104006')
('4116', '411618104007')
('4116', '411618104008')
('4116', '411618104009')
('4116', '411618104010')
('4116', '411618104012')
('4116', '411618104013')
('4116', '411618104015')
('4116', '411618104016')
('4116', '411618104017')
('4116', '411618104018')
('4116', '411618104020')
('4116', '411618104021')
('4116', '411618106001')
('4116', '411618106002')
('4116', '411618106003')
('4116', '411618106004')
('4116', '411618106005')
('4116', '411618106006')
('4116', '411618106007')
('4116', '411618114001')
('4116', '411618114002')
('4116', '411618114003')
('4116', '411618114005')
('4116', '411618114006')
('4116', '411618114007')
('4116', '411618114008')
('4116', '411621121011')
('4116', '411621121014')
('4116', '411621121021')
('4116', '411620121008')
('4116', '411621405001')
('4116', '411620405001')
('4116', '411620405002')
('4116', '411620405003')
('4117', '411718103001')
('4117', '411718103301')
('4117', '411718104001')
('4117', '411718104002')
('4117', '411718104003')
('4117', '411718104004')
('4117', '411718104005')
('4117', '411718104006')
('4117', '411718104007')
('4117', '411718104008')
('4117', '411718104009')
('4117', '411718104010')
('4117', '411718104011')
('4117', '411718104012')
('4117', '411718104013')
('4117', '411718104014')
('4117', '411718104015')
('4117', '411718104016')
('4117', '411718104017')
('4117', '411718104018')
('4117', '411718104020')
('4117', '411718104021')
('4117', '411718104022')
('4117', '411718104024')
('4117', '411718104025')
('4117', '411718104027')
('4117', '411718104028')
('4117', '411718104029')
('4117', '411718104030')
('4117', '411718104032')
('4117', '411718104033')
('4117', '411718104034')
('4117', '411718104035')
('4117', '411718104036')
('4117', '411718104037')
('4117', '411718104038')
('4117', '411718104039')
('4117', '411718104040')
('4117', '411718104041')
('4117', '411718104042')
('4117', '411718104043')
('4117', '411718104301')
('4117', '411718105001')
('4117', '411718105002')
('4117', '411718105003')
('4117', '411718105004')
('4117', '411718105005')
('4117', '411718105006')
('4117', '411718105007')
('4117', '411718105008')
('4117', '411718105009')
('4117', '411718105301')
('4117', '411718106001')
('4117', '411718106002')
('4117', '411718106003')
('4117', '411718106004')
('4117', '411718106005')
('4117', '411718106006')
('4117', '411718106007')
('4117', '411718106008')
('4117', '411718106009')
('4117', '411718106010')
('4117', '411718106012')
('4117', '411718106013')
('4117', '411718106014')
('4117', '411718106015')
('4117', '411718106016')
('4117', '411718106017')
('4117', '411718106018')
('4117', '411718106019')
('4117', '411718106020')
('4117', '411718106021')
('4117', '411718106022')
('4117', '411718106023')
('4117', '411718106024')
('4117', '411718106025')
('4117', '411718106026')
('4117', '411718106027')
('4117', '411718106028')
('4117', '411718106029')
('4117', '411718106030')
('4117', '411718106031')
('4117', '411718106032')
('4117', '411718106033')
('4117', '411718106034')
('4117', '411718106035')
('4117', '411718106036')
('4117', '411718106037')
('4117', '411718106038')
('4117', '411718106039')
('4117', '411718106040')
('4117', '411718114001')
('4117', '411718114002')
('4117', '411718114003')
('4117', '411718114004')
('4117', '411718114005')
('4117', '411718114006')
('4117', '411718114007')
('4117', '411718114008')
('4117', '411718114009')
('4117', '411718114010')
('4117', '411718114011')
('4117', '411718114012')
('4117', '411718114013')
('4117', '411718114014')
('4117', '411718114015')
('4117', '411718114016')
('4117', '411718114017')
('4117', '411718114018')
('4117', '411718114019')
('4117', '411718114020')
('4117', '411718114021')
('4117', '411718114022')
('4117', '411718114023')
('4117', '411718114024')
('4117', '411718114025')
('4117', '411718114026')
('4117', '411718114027')
('4117', '411718114029')
('4117', '411718114030')
('4117', '411718114031')
('4117', '411718114032')
('4117', '411718114033')
('4117', '411718114302')
('4117', '411718114303')
('4117', '411718205001')
('4117', '411718205003')
('4117', '411718205004')
('4117', '411718205005')
('4117', '411718205006')
('4117', '411718205007')
('4117', '411718205008')
('4117', '411718205009')
('4117', '411718205010')
('4117', '411718205011')
('4117', '411718205012')
('4117', '411718205013')
('4117', '411718205014')
('4117', '411718205015')
('4117', '411718205016')
('4117', '411718205017')
('4117', '411718205019')
('4117', '411718205020')
('4117', '411718205021')
('4117', '411718205022')
('4117', '411718205023')
('4117', '411718205024')
('4117', '411718205025')
('4117', '411718205026')
('4117', '411718205027')
('4117', '411718205028')
('4117', '411718205029')
('4117', '411718205030')
('4117', '411718205031')
('4117', '411718205032')
('4117', '411718205033')
('4117', '411718205034')
('4117', '411718205701')
('4117', '411721631001')
('4117', '411721631002')
('4117', '411721631003')
('4117', '411721631004')
('4117', '411721631005')
('4117', '411721631006')
('4117', '411721631007')
('4117', '411721631008')
('4117', '411721631009')
('4117', '411721631010')
('4117', '411721631011')
('4117', '411721631012')
('4117', '411721631013')
('4117', '411721631014')
('4117', '411721631015')
('4117', '411721631016')
('4117', '411721631017')
('4117', '411721631018')
('4117', '411721631020')
('4117', '411721631021')
('4117', '411721631022')
('4117', '411721631023')
('4117', '411721631024')
('4117', '411721631025')
('4117', '411721631026')
('4117', '411721631027')
('4117', '411721631028')
('4117', '411721631029')
('4117', '411721631030')
('4117', '411721631031')
('4117', '411721631032')
('4117', '411721631033')
('4117', '411721631034')
('4117', '411721631036')
('4117', '411721631037')
('4117', '411721631039')
('4117', '411721631040')
('4117', '411721631041')
('4117', '411721631042')
('4117', '411721631043')
('4117', '411721631044')
('4117', '411721631046')
('4117', '411721631047')
('4117', '411721631048')
('4117', '411721631049')
('4117', '411720631001')
('4117', '411720631002')
('4117', '411720631004')
('4117', '411720631005')
('4117', '411720631006')
('4117', '411720631007')
('4117', '411720631008')
('4117', '411720631009')
('4117', '411720631011')
('4117', '411720631012')
('4117', '411720631013')
('4117', '411720631014')
('4117', '411720631015')
('4117', '411720631016')
('4117', '411720631017')
('4117', '411720631018')
('4117', '411720631019')
('4117', '411720631020')
('4117', '411720631021')
('4117', '411720631022')
('4117', '411720631023')
('4117', '411720631024')
('4118', '411818103001')
('4118', '411818103003')
('4118', '411818103008')
('4118', '411818103301')
('4118', '411818103302')
('4118', '411818103303')
('4118', '411818103304')
('4118', '411818103305')
('4118', '411818103306')
('4118', '411818103307')
('4118', '411818103309')
('4118', '411818103310')
('4118', '411818103311')
('4118', '411818103312')
('4118', '411818103314')
('4118', '411818103315')
('4118', '411818104002')
('4118', '411818104003')
('4118', '411818104004')
('4118', '411818104005')
('4118', '411818104006')
('4118', '411818104008')
('4118', '411818104009')
('4118', '411818104010')
('4118', '411818104012')
('4118', '411818104014')
('4118', '411818104015')
('4118', '411818104016')
('4118', '411818104021')
('4118', '411818104022')
('4118', '411818104023')
('4118', '411818104024')
('4118', '411818104025')
('4118', '411818104028')
('4118', '411818104301')
('4118', '411818104302')
('4118', '411818104701')
('4118', '411818104701')
('4118', '411818105001')
('4118', '411818105002')
('4118', '411818105003')
('4118', '411818105006')
('4118', '411818105301')
('4118', '411818105302')
('4118', '411818105303')
('4118', '411818105304')
('4118', '411818105305')
('4118', '411818105306')
('4118', '411818105307')
('4118', '411818105309')
('4118', '411818105310')
('4118', '411818105314')
('4118', '411818105315')
('4118', '411818105317')
('4118', '411818105318')
('4118', '411818106001')
('4118', '411818106003')
('4118', '411818106004')
('4118', '411818106005')
('4118', '411818106006')
('4118', '411818106007')
('4118', '411818106008')
('4118', '411818106301')
('4118', '411818106302')
('4118', '411818106303')
('4118', '411818106304')
('4118', '411818106306')
('4118', '411818106308')
('4118', '411818106309')
('4118', '411818106311')
('4118', '411818106312')
('4118', '411818114001')
('4118', '411818114002')
('4118', '411818114003')
('4118', '411818114004')
('4118', '411818114005')
('4118', '411818114006')
('4118', '411818114008')
('4118', '411818114009')
('4118', '411818114010')
('4118', '411818114011')
('4118', '411818114012')
('4118', '411818114013')
('4118', '411818114014')
('4118', '411818114015')
('4118', '411818114016')
('4118', '411818114017')
('4118', '411818114018')
('4118', '411818114020')
('4118', '411818114021')
('4118', '411818114022')
('4118', '411818114301')
('4118', '411818114302')
('4118', '411818114303')
('4118', '411818114304')
('4118', '411818114305')
('4118', '411818114306')
('4118', '411818114307')
('4118', '411818114308')
('4118', '411818114309')
('4118', '411818114310')
('4118', '411818114311')
('4118', '411818114312')
('4118', '411818114313')
('4118', '411818114315')
('4118', '411818114316')
('4118', '411818114317')
('4118', '411818114318')
('4118', '411818114320')
('4118', '411818114321')
('4118', '411818114322')
('4118', '411818114323')
('4118', '411818114325')
('4118', '411818114326')
('4118', '411818114327')
('4118', '411818114329')
('4118', '411818114330')
('4118', '411818114332')
('4118', '411818114333')
('4118', '411818114334')
('4118', '411818114335')
('4118', '411818114336')
('4118', '411818114337')
('4118', '411818114338')
('4118', '411818205001')
('4118', '411818205002')
('4118', '411818205004')
('4118', '411818205005')
('4118', '411818205006')
('4118', '411818205007')
('4118', '411818205008')
('4118', '411818205009')
('4118', '411818205010')
('4118', '411818205012')
('4118', '411818205013')
('4118', '411818205014')
('4118', '411818205015')
('4118', '411818205016')
('4118', '411818205017')
('4118', '411818205018')
('4118', '411818205019')
('4118', '411818205020')
('4118', '411821404001')
('4118', '411820404001')
('4118', '411820404002')
('4118', '411820404003')
('4118', '411820404004')
('4118', '411821405001')
('4118', '411821405002')
('4118', '411821405003')
('4118', '411820405001')
('4118', '411821483001')
('4118', '411821483002')
('4118', '411821483003')
('4118', '411820483001')
('4118', '411820483002')
('4118', '411820483003')
('4118', '411820483005')
('4119', '411918106002')
('4119', '411918106003')
('4119', '411918214002')
('4119', '411918214003')
('4119', '411918214004')
('4119', '411918214006')
('4119', '411918214008')
('4119', '411918214009')
('4119', '411918214011')
('4120', '412018105001')
('4120', '412018105002')
('4120', '412018106002')
('4120', '412018213001')
('4120', '412018213005')
('4120', '412018213006')
('4120', '412018213007')
('4120', '412018213008')
('4120', '412018213009')
('4120', '412021401001')
('4120', '412021401002')
('4120', '412021405001')
('4120', '412021405002')
('4120', '412021405003')
('4120', '412021405004')
('4120', '412021405005')
('4120', '412021405006')
('4120', '412021405007')
('4120', '412021405008')
('4120', '412021405009')
('4120', '412021405010')
('4120', '412021405011')
('4120', '412021405012')
('4120', '412021405013')
('4120', '412021405014')
('4120', '412021405015')
('4120', '412021631001')
('4120', '412021631002')
('4120', '412021631003')
('4120', '412021631004')
('4120', '412021631006')
('4120', '412021631007')
